model_key,threshold,mask_length,n_prog,n_detected,n_early,n_at_conv,n_missed,sensitivity,specificity,mean_lead_time,median_lead_time,false_alarm_rate,n_ctrl,n_false_alarm
MCI_AD_seed228,0.6,0,79,55,5,50,24,0.6962025316455697,0.9487179487179487,13.844,12.05,0.05128205128205128,78,4
MCI_AD_seed228,0.6,1,79,44,5,39,35,0.5569620253164557,0.9512195121951219,13.844,12.05,0.04878048780487805,41,2
MCI_AD_seed228,0.6,2,79,25,2,23,54,0.31645569620253167,0.9565217391304348,18.105000000000004,18.105000000000004,0.043478260869565216,23,1
MCI_AD_seed228,0.6,3,79,17,1,16,62,0.21518987341772153,0.9285714285714286,12.880000000000003,12.880000000000003,0.07142857142857142,14,1
MCI_AD_seed228,0.7,0,79,50,4,46,29,0.6329113924050633,0.9615384615384616,14.915000000000001,12.465000000000002,0.038461538461538464,78,3
MCI_AD_seed228,0.7,1,79,38,4,34,41,0.4810126582278481,0.9512195121951219,14.915000000000001,12.465000000000002,0.04878048780487805,41,2
MCI_AD_seed228,0.7,2,79,22,2,20,57,0.27848101265822783,0.9565217391304348,18.105000000000004,18.105000000000004,0.043478260869565216,23,1
MCI_AD_seed228,0.7,3,79,16,1,15,63,0.20253164556962025,0.9285714285714286,12.880000000000003,12.880000000000003,0.07142857142857142,14,1
MCI_AD_seed25,0.3,0,79,70,19,51,9,0.8860759493670886,0.7564102564102564,17.518421052631577,14.26,0.24358974358974358,78,19
MCI_AD_seed25,0.3,1,79,54,19,35,25,0.6835443037974683,0.7804878048780488,17.518421052631577,14.26,0.21951219512195122,41,9
MCI_AD_seed25,0.3,2,79,42,16,26,37,0.5316455696202531,0.8260869565217391,18.528125000000003,15.739999999999998,0.17391304347826086,23,4
MCI_AD_seed25,0.3,3,79,28,10,18,51,0.35443037974683544,0.8571428571428572,20.138,19.155,0.14285714285714285,14,2
MCI_AD_seed25,0.4,0,79,66,16,50,13,0.8354430379746836,0.8333333333333334,16.97375,14.850000000000001,0.16666666666666666,78,13
MCI_AD_seed25,0.4,1,79,52,16,36,27,0.6582278481012658,0.8048780487804879,16.97375,14.850000000000001,0.1951219512195122,41,8
MCI_AD_seed25,0.4,2,79,40,13,27,39,0.5063291139240507,0.8695652173913043,18.090769230769233,16.36,0.13043478260869565,23,3
MCI_AD_seed25,0.4,3,79,26,8,18,53,0.3291139240506329,0.8571428571428572,19.185000000000002,16.79,0.14285714285714285,14,2
MCI_AD_seed25,0.5,0,79,61,11,50,18,0.7721518987341772,0.8974358974358975,16.62363636363637,15.440000000000001,0.10256410256410256,78,8
MCI_AD_seed25,0.5,1,79,49,11,38,30,0.620253164556962,0.8780487804878049,16.62363636363637,15.440000000000001,0.12195121951219512,41,5
MCI_AD_seed25,0.5,2,79,34,8,26,45,0.43037974683544306,0.9130434782608696,18.307500000000005,18.265,0.08695652173913043,23,2
MCI_AD_seed25,0.5,3,79,21,3,18,58,0.26582278481012656,0.8571428571428572,17.523333333333337,17.22,0.14285714285714285,14,2
MCI_AD_seed25,0.6,0,79,58,7,51,21,0.7341772151898734,0.9230769230769231,13.202857142857141,12.05,0.07692307692307693,78,6
MCI_AD_seed25,0.6,1,79,47,7,40,32,0.5949367088607594,0.9024390243902439,13.202857142857141,12.05,0.0975609756097561,41,4
MCI_AD_seed25,0.6,2,79,29,4,25,50,0.3670886075949367,0.9565217391304348,14.852500000000001,12.75,0.043478260869565216,23,1
MCI_AD_seed25,0.6,3,79,19,2,17,60,0.24050632911392406,0.9285714285714286,11.730000000000002,11.730000000000002,0.07142857142857142,14,1
MCI_AD_seed25,0.7,0,79,52,2,50,27,0.6582278481012658,0.9615384615384616,12.465000000000002,12.465000000000002,0.038461538461538464,78,3
MCI_AD_seed25,0.7,1,79,38,2,36,41,0.4810126582278481,0.975609756097561,12.465000000000002,12.465000000000002,0.024390243902439025,41,1
MCI_AD_seed25,0.7,2,79,21,1,20,58,0.26582278481012656,0.9565217391304348,12.880000000000003,12.880000000000003,0.043478260869565216,23,1
MCI_AD_seed25,0.7,3,79,17,1,16,62,0.21518987341772153,0.9285714285714286,12.880000000000003,12.880000000000003,0.07142857142857142,14,1
MCI_AD_seed250,0.3,0,79,71,19,52,8,0.8987341772151899,0.717948717948718,18.287894736842105,15.440000000000001,0.28205128205128205,78,22
MCI_AD_seed250,0.3,1,79,56,19,37,23,0.7088607594936709,0.7560975609756098,18.287894736842105,15.440000000000001,0.24390243902439024,41,10
MCI_AD_seed250,0.3,2,79,43,16,27,36,0.5443037974683544,0.8695652173913043,19.441875000000003,18.265,0.13043478260869565,23,3
MCI_AD_seed250,0.3,3,79,26,9,17,53,0.3291139240506329,0.8571428571428572,21.14888888888889,21.090000000000003,0.14285714285714285,14,2
MCI_AD_seed250,0.4,0,79,65,16,49,14,0.8227848101265823,0.8333333333333334,16.918125,14.405000000000001,0.16666666666666666,78,13
MCI_AD_seed250,0.4,1,79,53,16,37,26,0.6708860759493671,0.8292682926829268,16.918125,14.405000000000001,0.17073170731707318,41,7
MCI_AD_seed250,0.4,2,79,40,13,27,39,0.5063291139240507,0.8695652173913043,18.022307692307695,16.36,0.13043478260869565,23,3
MCI_AD_seed250,0.4,3,79,25,8,17,54,0.31645569620253167,0.8571428571428572,19.185000000000002,16.79,0.14285714285714285,14,2
MCI_AD_seed250,0.5,0,79,59,7,52,20,0.7468354430379747,0.9230769230769231,17.46,12.880000000000003,0.07692307692307693,78,6
MCI_AD_seed250,0.5,1,79,48,7,41,31,0.6075949367088608,0.926829268292683,17.46,12.880000000000003,0.07317073170731707,41,3
MCI_AD_seed250,0.5,2,79,31,5,26,48,0.3924050632911392,0.9565217391304348,20.252,17.22,0.043478260869565216,23,1
