Responses,Coding,Count,Pct
"('DEM', 'Unknown')",cn_mci_dementia,9,0.02
"('MCI', 'MCI', 'MCI', 'MCI', 'Unknown')",cn_mci_dementia,9,0.02
"('Unknown', 'Unknown', 'CN', 'CN')",cn_mci_dementia,9,0.02
"('CN', 'CN', 'CN', 'CN', 'Unknown', 'Unknown')",cn_mci_dementia,9,0.02
"('MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,9,0.02
"('MCI', 'Unknown', 'Unknown', 'Unknown')",cn_mci_dementia,9,0.02
"('DEM', 'MCI', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,8,0.01
"('MCI', 'MCI', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,8,0.01
"('MCI', 'DEM', 'MCI', 'DEM')",cn_mci_dementia,8,0.01
"('Unknown', 'Unknown', 'CN', 'CN', 'CN')",cn_mci_dementia,8,0.01
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,8,0.01
"('MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,8,0.01
"('MCI', 'MCI', 'MCI', 'MCI', 'CN', 'CN', 'CN')",cn_mci_dementia,8,0.01
"('MCI', 'MCI', 'MCI', 'MCI', 'CN', 'CN')",cn_mci_dementia,8,0.01
"('MCI', 'MCI', 'MCI', 'MCI', 'CN')",cn_mci_dementia,8,0.01
"('Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown')",cn_mci_dementia,8,0.01
"('Unknown', 'Unknown', 'CN', 'CN', 'CN', 'CN', 'CN')",cn_mci_dementia,8,0.01
"('MCI', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",cn_mci_dementia,8,0.01
"('MCI', 'Unknown', 'MCI', 'MCI')",cn_mci_dementia,8,0.01
"('DEM', 'MCI', 'MCI', 'DEM')",cn_mci_dementia,8,0.01
"('CN', 'Unknown', 'MCI')",cn_mci_dementia,8,0.01
"('MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,8,0.01
"('DEM', 'DEM', 'DEM', 'MCI')",cn_mci_dementia,8,0.01
"('CN', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,8,0.01
"('CN', 'CN', 'CN', 'DEM', 'DEM')",cn_mci_dementia,8,0.01
"('DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,8,0.01
"('CN', 'CN', 'CN', 'CN', 'MCI', 'MCI', 'DEM')",cn_mci_dementia,8,0.01
"('MCI', 'CN', 'MCI', 'CN')",cn_mci_dementia,8,0.01
"('CN', 'CN', 'CN', 'CN', 'CN', 'MCI', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,8,0.01
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",cn_mci_dementia,8,0.01
"('DEM', 'MCI', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,7,0.01
